"Date Printed: Sunday, March 16, 2025 10:32:39 PM"
Title: "AIDS deaths | AIDS prevalence | HIV Stigma | HIV deaths | HIV diagnoses | HIV prevalence | Linkage to HIV care | PrEP coverage and number of persons prescribed | Receipt of HIV medical care | Unstable Housing or Homelessness | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2023 and 2024 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Numbers less than 12͵ and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
   Death data for the year 2022 are preliminary and based on death data received by CDC as of December 2023. Deaths in 2020 and beyond should be interpreted considering the impact of the COVID-19 pandemic. For additional information͵ see <a href=https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm>https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm</a>. Death data based on residence at death. See Technical Notes for death reporting by jurisdiction.
   Prevalence data for the year 2022 are preliminary and based on death data received by CDC as of December 2023. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
   Linkage to care is based on cases diagnosed during the year queried.
   Receipt of care is based on persons living with diagnosed HIV at the end of the year queried.PrEP coverage͵ reported as a percentage͵ is calculated as the number of persons aged ≥16 years classified as having been prescribed PrEP divided by the estimated number of persons aged ≥16 years who had indications for PrEP. To allow for comparison with other HIV indicators͵ data are presented for ≥13‒ and 13‒24-year-olds͵ but represent ≥16‒ and 16‒24-years-olds͵ respectively. CDC has paused PrEP coverage reporting to determine the best methodology for calculating PrEP coverage͵ and to update PrEP coverage estimates using updated methods and sources. Until updated PrEP coverage estimates are published͵ CDC advises against citing specific PrEP coverage data points͵ as historical estimates will be updated.
   Weighted percentages for unstable housing or homelessness and median HIV stigma scores are reported in the ‘Rate per 100͵000’ column with corresponding 95% confidence intervals reported in the ‘Rate LCI’ and ‘Rate UCI’ columns within the Charts and Maps tools or in parentheses within the ‘Rate per 100͵000’ column within the Tables tool.
   To allow for comparison with other HIV indicators͵ data are presented for persons aged ≥13 years and aged 13-24 years. However͵ these estimates are representative of persons with diagnosed HIV aged ≥18 years and 18-24 years͵ respectively. 
   For unstable housing or homelessness͵ estimates with a coefficient of variation ≥0.30 or those based on a denominator sample size less than 30 were suppressed. For HIV stigma͵ estimates based on a denominator sample size less than 30 were suppressed.
   See Technical Notes for more details on data availability͵ stratifications͵ and variable definitions.
   * Estimates with an absolute CI width ≥30͵ estimates with an absolute CI width between 5 and 30 and a relative CI width greater than 130%͵ and estimates of 0% or 100% should be interpreted with caution.
   ^ Jurisdiction with incomplete reporting of deaths for most recent year.
   The 'Sex' column is used for either sex assigned at birth or gender identity.
   NA - Not applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000 (95% CI),Percent
"Receipt of HIV medical care","2018","Alabama","01","10,037","NA","77.4"
"PrEP coverage and number of persons prescribed","2018","Alabama","01","1,539","NA","14.0"
"HIV prevalence","2018","Alabama","01","13,375","325.4","NA"
"AIDS prevalence","2018","Alabama","01","5,864","142.7","NA"
"Receipt of HIV medical care","2019","Alabama","01","10,325","NA","78.0"
"PrEP coverage and number of persons prescribed","2019","Alabama","01","1,835","NA","16.7"
"HIV prevalence","2019","Alabama","01","13,765","333.4","NA"
"AIDS prevalence","2019","Alabama","01","6,008","145.5","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Alabama","01","10,272","NA","75.6"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Alabama","01","1,910","NA","17.3"
"HIV prevalence","2020 (COVID-19 Pandemic)","Alabama","01","14,030","330.6","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Alabama","01","6,106","143.9","NA"
"Receipt of HIV medical care","2021","Alabama","01","9,898","NA","71.9"
"PrEP coverage and number of persons prescribed","2021","Alabama","01","2,758","NA","25.0"
"HIV prevalence","2021","Alabama","01","14,336","335.9","NA"
"AIDS prevalence","2021","Alabama","01","6,148","144.0","NA"
"Receipt of HIV medical care","2022","Alabama","01","10,373","NA","73.7"
"PrEP coverage and number of persons prescribed","2022","Alabama","01","3,435","NA","31.2"
"HIV prevalence","2022","Alabama","01","14,761","343.8","NA"
"AIDS prevalence","2022","Alabama","01","6,265","145.9","NA"
"AIDS deaths","2022","Alabama","01","204","4.8","NA"
"HIV Stigma","2022","Alabama","01","Data not available","Data not available","NA"
"HIV deaths","2022","Alabama","01","298","6.9","NA"
"HIV diagnoses","2022","Alabama","01","701","16.3","NA"
"Linkage to HIV care","2022","Alabama","01","552","NA","78.7"
"Unstable Housing or Homelessness","2022","Alabama","01","Data not available","Data not available","NA"
"AIDS deaths","2022","Alaska","02","13","2.1","NA"
"AIDS prevalence","2022","Alaska","02","363","59.9","NA"
"HIV Stigma","2022","Alaska","02","Data not available","Data not available","NA"
"HIV deaths","2022","Alaska","02","15","2.5","NA"
"HIV diagnoses","2022","Alaska","02","38","6.3","NA"
"HIV prevalence","2022","Alaska","02","768","126.7","NA"
"Linkage to HIV care","2022","Alaska","02","34","NA","89.5"
"PrEP coverage and number of persons prescribed","2022","Alaska","02","397","NA","22.3"
"Receipt of HIV medical care","2022","Alaska","02","622","NA","85.6"
"Unstable Housing or Homelessness","2022","Alaska","02","Data not available","Data not available","NA"
"Receipt of HIV medical care","2022","Arizona","04","12,959","NA","72.5"
"PrEP coverage and number of persons prescribed","2022","Arizona","04","8,316","NA","32.3"
"HIV prevalence","2022","Arizona","04","18,693","298.8","NA"
"AIDS prevalence","2022","Arizona","04","8,225","131.5","NA"
"AIDS deaths","2022","Arizona","04","244","3.9","NA"
"HIV Stigma","2022","Arizona","04","Data not available","Data not available","NA"
"HIV deaths","2022","Arizona","04","336","5.4","NA"
"HIV diagnoses","2022","Arizona","04","860","13.7","NA"
"Linkage to HIV care","2022","Arizona","04","722","NA","84.0"
"Unstable Housing or Homelessness","2022","Arizona","04","Data not available","Data not available","NA"
"Receipt of HIV medical care","2022","Arkansas","05","4,228","NA","69.8"
"PrEP coverage and number of persons prescribed","2022","Arkansas","05","1,675","NA","32.7"
"HIV prevalence","2022","Arkansas","05","6,362","248.9","NA"
"AIDS prevalence","2022","Arkansas","05","2,744","107.3","NA"
"AIDS deaths","2022","Arkansas","05","68","2.7","NA"
"HIV Stigma","2022","Arkansas","05","Data not available","Data not available","NA"
"HIV deaths","2022","Arkansas","05","103","4.0","NA"
"HIV diagnoses","2022","Arkansas","05","305","11.9","NA"
"Linkage to HIV care","2022","Arkansas","05","247","NA","81.0"
